alcaldia,categoria_etiqueta,promedio_mensual,total_periodo,meses_observados
IZTAPALAPA,DELITO,4426.588235294118,75252,17
IZTAPALAPA,FALTA CÍVICA,4187.823529411765,71193,17
IZTAPALAPA,SERVICIO,4096.470588235294,69640,17
CUAUHTEMOC,SERVICIO,3443.5882352941176,58541,17
GUSTAVO A MADERO,FALTA CÍVICA,3411.5882352941176,57997,17
GUSTAVO A MADERO,SERVICIO,3132.9411764705883,53260,17
GUSTAVO A MADERO,DELITO,2735.529411764706,46504,17
CUAUHTEMOC,FALTA CÍVICA,2553.529411764706,43410,17
IZTAPALAPA,URGENCIAS MÉDICAS,2442.0588235294117,41515,17
BENITO JUAREZ,SERVICIO,2206.470588235294,37510,17
CUAUHTEMOC,DELITO,2205.235294117647,37489,17
COYOACAN,FALTA CÍVICA,2073.3529411764707,35247,17
COYOACAN,SERVICIO,1945.9411764705883,33081,17
ALVARO OBREGON,SERVICIO,1904.2941176470588,32373,17
CUAUHTEMOC,URGENCIAS MÉDICAS,1886.2941176470588,32067,17
ALVARO OBREGON,FALTA CÍVICA,1844.1764705882354,31351,17
TLALPAN,SERVICIO,1827.1764705882354,31062,17
GUSTAVO A MADERO,URGENCIAS MÉDICAS,1825.764705882353,31038,17
VENUSTIANO CARRANZA,FALTA CÍVICA,1691.9411764705883,28763,17
VENUSTIANO CARRANZA,SERVICIO,1671.4117647058824,28414,17
MIGUEL HIDALGO,SERVICIO,1646,27982,17
TLALPAN,FALTA CÍVICA,1623.1176470588234,27593,17
ALVARO OBREGON,DELITO,1547.5882352941176,26309,17
TLALPAN,DELITO,1530.7058823529412,26022,17
IZTAPALAPA,EMERGENCIA,1501,25517,17
COYOACAN,DELITO,1494.0588235294117,25399,17
BENITO JUAREZ,FALTA CÍVICA,1471.2941176470588,25012,17
VENUSTIANO CARRANZA,DELITO,1395.5294117647059,23724,17
IZTACALCO,FALTA CÍVICA,1380,23460,17
IZTACALCO,SERVICIO,1308.1176470588234,22238,17
MIGUEL HIDALGO,FALTA CÍVICA,1304.9411764705883,22184,17
AZCAPOTZALCO,FALTA CÍVICA,1296.5294117647059,22041,17
AZCAPOTZALCO,SERVICIO,1252.235294117647,21288,17
ALVARO OBREGON,URGENCIAS MÉDICAS,1151.5294117647059,19576,17
IZTACALCO,DELITO,1108.8235294117646,18850,17
