folio,periodo_archivo,fecha_creacion,hora_creacion,fecha_cierre,hora_cierre,duracion_minutos
C5/20210525/01420,2021_s1,2021-05-25,12:54:09,2021-05-25,12:52:08,-2.0166666666666666
C5/20210524/01596,2021_s1,2021-05-24,12:04:33,2021-05-24,12:04:23,-0.16666666666666666
C5/20211031/01120,2021_s2,2021-10-31,01:58:15,2021-10-31,01:03:18,-54.95
C5/20211031/00898,2021_s2,2021-10-31,01:36:38,2021-10-31,01:33:10,-3.466666666666667
C5/20211031/00887,2021_s2,2021-10-31,01:34:47,2021-10-31,01:31:29,-3.3
C5/20211031/01086,2021_s2,2021-10-31,01:54:41,2021-10-31,01:16:43,-37.96666666666667
C5/20211031/00826,2021_s2,2021-10-31,01:27:52,2021-10-31,01:09:22,-18.5
C5/20211031/01056,2021_s2,2021-10-31,01:52:07,2021-10-31,01:20:27,-31.666666666666668
C5/20211031/01045,2021_s2,2021-10-31,01:50:25,2021-10-31,01:19:53,-30.533333333333335
C5/20211031/01012,2021_s2,2021-10-31,01:47:27,2021-10-31,01:00:30,-46.95
C5/20211031/00890,2021_s2,2021-10-31,01:35:14,2021-10-31,01:31:39,-3.5833333333333335
C5/20211031/00963,2021_s2,2021-10-31,01:42:40,2021-10-31,01:15:17,-27.383333333333333
C5/20211031/01090,2021_s2,2021-10-31,01:55:12,2021-10-31,01:04:23,-50.81666666666667
C5/20211031/01081,2021_s2,2021-10-31,01:54:04,2021-10-31,01:01:20,-52.733333333333334
C5/20211031/01121,2021_s2,2021-10-31,01:59:26,2021-10-31,01:10:05,-49.35
C5/20211031/00937,2021_s2,2021-10-31,01:40:15,2021-10-31,01:16:15,-24
C5/20211031/00665,2021_s2,2021-10-31,01:12:15,2021-10-31,01:01:44,-10.516666666666667
C5/20211031/00950,2021_s2,2021-10-31,01:40:38,2021-10-31,01:32:24,-8.233333333333333
C5/20211031/01101,2021_s2,2021-10-31,01:55:57,2021-10-31,01:01:35,-54.36666666666667
C5/20211031/01117,2021_s2,2021-10-31,01:57:18,2021-10-31,01:02:28,-54.833333333333336
C5/20211031/01071,2021_s2,2021-10-31,01:52:09,2021-10-31,01:00:05,-52.06666666666667
C5/20211031/01131,2021_s2,2021-10-31,01:59:27,2021-10-31,01:21:01,-38.43333333333333
C5/20211031/01007,2021_s2,2021-10-31,01:47:16,2021-10-31,01:14:54,-32.36666666666667
C5/20211031/00834,2021_s2,2021-10-31,01:28:11,2021-10-31,01:27:29,-0.7
C5/20211031/01030,2021_s2,2021-10-31,01:45:37,2021-10-31,01:43:14,-2.3833333333333333
C5/20211031/00980,2021_s2,2021-10-31,01:42:05,2021-10-31,01:14:46,-27.316666666666666
C5/20211031/01009,2021_s2,2021-10-31,01:47:17,2021-10-31,01:17:58,-29.316666666666666
C5/20211031/01138,2021_s2,2021-10-31,01:59:44,2021-10-31,01:07:40,-52.06666666666667
C5/20211031/01046,2021_s2,2021-10-31,01:49:53,2021-10-31,01:05:49,-44.06666666666667
C5/20211031/01011,2021_s2,2021-10-31,01:46:26,2021-10-31,01:04:40,-41.766666666666666
C5/20211031/01132,2021_s2,2021-10-31,01:58:18,2021-10-31,01:21:57,-36.35
C5/20211031/01139,2021_s2,2021-10-31,01:59:38,2021-10-31,01:59:00,-0.6333333333333333
C5/20211031/01124,2021_s2,2021-10-31,01:59:54,2021-10-31,01:07:26,-52.46666666666667
C5/20211031/01127,2021_s2,2021-10-31,01:59:17,2021-10-31,01:39:24,-19.883333333333333
C5/20211031/00867,2021_s2,2021-10-31,01:33:05,2021-10-31,01:09:03,-24.033333333333335
C5/20211031/01111,2021_s2,2021-10-31,01:58:10,2021-10-31,01:02:14,-55.93333333333333
C5/20211031/00923,2021_s2,2021-10-31,01:38:47,2021-10-31,01:31:20,-7.45
C5/20211031/00961,2021_s2,2021-10-31,01:42:36,2021-10-31,01:14:55,-27.683333333333334
C5/20211031/01093,2021_s2,2021-10-31,01:54:45,2021-10-31,01:05:29,-49.266666666666666
C5/20211031/01154,2021_s2,2021-10-31,01:56:34,2021-10-31,01:31:19,-25.25
C5/20211031/00967,2021_s2,2021-10-31,01:41:53,2021-10-31,01:05:18,-36.583333333333336
C5/20211031/01057,2021_s2,2021-10-31,01:50:38,2021-10-31,01:43:01,-7.616666666666666
C5/20211031/01126,2021_s2,2021-10-31,01:59:32,2021-10-31,01:04:56,-54.6
C5/20211031/01091,2021_s2,2021-10-31,01:54:59,2021-10-31,01:33:57,-21.033333333333335
C5/20211031/01114,2021_s2,2021-10-31,01:57:32,2021-10-31,01:01:59,-55.55
C5/20211031/01134,2021_s2,2021-10-31,01:59:23,2021-10-31,01:07:23,-52
C5/20211031/00928,2021_s2,2021-10-31,01:39:19,2021-10-31,01:06:29,-32.833333333333336
C5/20211031/01130,2021_s2,2021-10-31,01:59:44,2021-10-31,01:14:00,-45.733333333333334
