mes_cierre,alcaldia,categoria_etiqueta,total_incidentes,promedio_mensual_categoria
2021-01-01,ALVARO OBREGON,DELITO,1492,1547.5882352941176
2021-02-01,ALVARO OBREGON,DELITO,1523,1547.5882352941176
2021-03-01,ALVARO OBREGON,DELITO,1649,1547.5882352941176
2021-04-01,ALVARO OBREGON,DELITO,1671,1547.5882352941176
2021-05-01,ALVARO OBREGON,DELITO,1631,1547.5882352941176
2021-06-01,ALVARO OBREGON,DELITO,1289,1547.5882352941176
2021-07-01,ALVARO OBREGON,DELITO,1604,1547.5882352941176
2021-08-01,ALVARO OBREGON,DELITO,1732,1547.5882352941176
2021-09-01,ALVARO OBREGON,DELITO,2071,1547.5882352941176
2021-10-01,ALVARO OBREGON,DELITO,1780,1547.5882352941176
2021-11-01,ALVARO OBREGON,DELITO,1637,1547.5882352941176
2021-12-01,ALVARO OBREGON,DELITO,1833,1547.5882352941176
2022-01-01,ALVARO OBREGON,DELITO,1460,1547.5882352941176
2022-02-01,ALVARO OBREGON,DELITO,1492,1547.5882352941176
2022-03-01,ALVARO OBREGON,DELITO,1741,1547.5882352941176
2022-04-01,ALVARO OBREGON,DELITO,1675,1547.5882352941176
2022-05-01,ALVARO OBREGON,DELITO,29,1547.5882352941176
2021-01-01,ALVARO OBREGON,EMERGENCIA,754,788.4117647058823
2021-02-01,ALVARO OBREGON,EMERGENCIA,1932,788.4117647058823
2021-03-01,ALVARO OBREGON,EMERGENCIA,1408,788.4117647058823
2021-04-01,ALVARO OBREGON,EMERGENCIA,1437,788.4117647058823
2021-05-01,ALVARO OBREGON,EMERGENCIA,631,788.4117647058823
2021-06-01,ALVARO OBREGON,EMERGENCIA,498,788.4117647058823
2021-07-01,ALVARO OBREGON,EMERGENCIA,527,788.4117647058823
2021-08-01,ALVARO OBREGON,EMERGENCIA,643,788.4117647058823
2021-09-01,ALVARO OBREGON,EMERGENCIA,717,788.4117647058823
2021-10-01,ALVARO OBREGON,EMERGENCIA,571,788.4117647058823
2021-11-01,ALVARO OBREGON,EMERGENCIA,600,788.4117647058823
2021-12-01,ALVARO OBREGON,EMERGENCIA,654,788.4117647058823
2022-01-01,ALVARO OBREGON,EMERGENCIA,608,788.4117647058823
2022-02-01,ALVARO OBREGON,EMERGENCIA,581,788.4117647058823
2022-03-01,ALVARO OBREGON,EMERGENCIA,1061,788.4117647058823
2022-04-01,ALVARO OBREGON,EMERGENCIA,780,788.4117647058823
2022-05-01,ALVARO OBREGON,EMERGENCIA,1,788.4117647058823
2021-01-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-02-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-03-01,ALVARO OBREGON,FALSA ALARMA,26,1.6470588235294117
2021-04-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-05-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-06-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-07-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-08-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-09-01,ALVARO OBREGON,FALSA ALARMA,1,1.6470588235294117
2021-10-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-11-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-12-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2022-01-01,ALVARO OBREGON,FALSA ALARMA,1,1.6470588235294117
2022-02-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2022-03-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2022-04-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2022-05-01,ALVARO OBREGON,FALSA ALARMA,0,1.6470588235294117
2021-01-01,ALVARO OBREGON,FALTA CÍVICA,3191,1844.1764705882354
2021-02-01,ALVARO OBREGON,FALTA CÍVICA,2964,1844.1764705882354
2021-03-01,ALVARO OBREGON,FALTA CÍVICA,2660,1844.1764705882354
2021-04-01,ALVARO OBREGON,FALTA CÍVICA,2682,1844.1764705882354
2021-05-01,ALVARO OBREGON,FALTA CÍVICA,2250,1844.1764705882354
2021-06-01,ALVARO OBREGON,FALTA CÍVICA,1579,1844.1764705882354
2021-07-01,ALVARO OBREGON,FALTA CÍVICA,1685,1844.1764705882354
2021-08-01,ALVARO OBREGON,FALTA CÍVICA,1919,1844.1764705882354
2021-09-01,ALVARO OBREGON,FALTA CÍVICA,1471,1844.1764705882354
2021-10-01,ALVARO OBREGON,FALTA CÍVICA,1844,1844.1764705882354
2021-11-01,ALVARO OBREGON,FALTA CÍVICA,1494,1844.1764705882354
2021-12-01,ALVARO OBREGON,FALTA CÍVICA,1542,1844.1764705882354
2022-01-01,ALVARO OBREGON,FALTA CÍVICA,1283,1844.1764705882354
2022-02-01,ALVARO OBREGON,FALTA CÍVICA,1483,1844.1764705882354
2022-03-01,ALVARO OBREGON,FALTA CÍVICA,1494,1844.1764705882354
2022-04-01,ALVARO OBREGON,FALTA CÍVICA,1803,1844.1764705882354
2022-05-01,ALVARO OBREGON,FALTA CÍVICA,7,1844.1764705882354
2021-01-01,ALVARO OBREGON,SERVICIO,1736,1904.2941176470588
2021-02-01,ALVARO OBREGON,SERVICIO,1805,1904.2941176470588
2021-03-01,ALVARO OBREGON,SERVICIO,2061,1904.2941176470588
2021-04-01,ALVARO OBREGON,SERVICIO,2089,1904.2941176470588
2021-05-01,ALVARO OBREGON,SERVICIO,2250,1904.2941176470588
2021-06-01,ALVARO OBREGON,SERVICIO,2018,1904.2941176470588
