categoria_etiqueta,hora_reporte,total_incidentes
DELITO,0,22089
DELITO,1,18861
DELITO,2,14674
DELITO,3,11944
DELITO,4,9152
DELITO,5,6476
DELITO,6,5293
DELITO,7,5204
DELITO,8,6384
DELITO,9,8151
DELITO,10,10492
DELITO,11,12613
DELITO,12,14327
DELITO,13,15551
DELITO,14,16356
DELITO,15,16987
DELITO,16,17070
DELITO,17,18287
DELITO,18,21135
DELITO,19,23056
DELITO,20,24915
DELITO,21,26890
DELITO,22,26661
DELITO,23,24943
EMERGENCIA,0,3551
EMERGENCIA,1,2742
EMERGENCIA,2,2036
EMERGENCIA,3,1602
EMERGENCIA,4,1370
EMERGENCIA,5,1316
EMERGENCIA,6,1452
EMERGENCIA,7,2088
EMERGENCIA,8,2963
EMERGENCIA,9,4054
EMERGENCIA,10,5677
EMERGENCIA,11,6781
EMERGENCIA,12,8660
EMERGENCIA,13,9138
EMERGENCIA,14,9581
EMERGENCIA,15,9577
EMERGENCIA,16,9598
EMERGENCIA,17,9203
EMERGENCIA,18,10244
EMERGENCIA,19,10439
EMERGENCIA,20,10354
EMERGENCIA,21,8499
EMERGENCIA,22,7007
EMERGENCIA,23,4714
URGENCIAS MÉDICAS,0,9304
URGENCIAS MÉDICAS,1,7734
URGENCIAS MÉDICAS,2,6448
URGENCIAS MÉDICAS,3,5352
URGENCIAS MÉDICAS,4,4660
URGENCIAS MÉDICAS,5,4065
URGENCIAS MÉDICAS,6,4305
URGENCIAS MÉDICAS,7,5800
URGENCIAS MÉDICAS,8,7144
URGENCIAS MÉDICAS,9,8690
URGENCIAS MÉDICAS,10,10704
URGENCIAS MÉDICAS,11,12252
URGENCIAS MÉDICAS,12,13472
URGENCIAS MÉDICAS,13,14306
URGENCIAS MÉDICAS,14,15209
URGENCIAS MÉDICAS,15,14965
URGENCIAS MÉDICAS,16,14717
URGENCIAS MÉDICAS,17,13965
URGENCIAS MÉDICAS,18,14606
URGENCIAS MÉDICAS,19,14431
URGENCIAS MÉDICAS,20,14585
URGENCIAS MÉDICAS,21,14293
URGENCIAS MÉDICAS,22,12774
URGENCIAS MÉDICAS,23,11260
